CPT Code,CPT Description
57210,Suture of non-obstetrical injury of the vagina and/or skin
57220,Plastic repair through the vagina of muscles at urinary opening (sphincter)
57230,Plastic repair of prolapsed urinary canal (urethra) into vaginal wall
57240,Repair of herniated bladder into vaginal wall
57250,Repair of herniated rectum into vaginal wall
57260,"Plastic repair of vagina and tissue separating vagina, rectum, and bladder"
57265,Repair of herniated rectum and bladder into vaginal wall
57267,Placement of artificial material for pelvic floor defect
57268,Repair of protrusion of intestine into rectum or vagina
57270,Repair of protrusion of intestine into rectum or vagina
57280,Attachment of vagina to rear pelvic bone (sacrum)
57282,Vaginal repair of pelvic ligaments
57283,Anatomic repositioning of vagina
57284,"Repair through abdomen of vaginal wall defect, open procedure"
57285,Repair through the vagina of vaginal wall defect
57287,Removal or revision of sling around bladder canal (urethra) to control leakage
57288,Creation of sling around bladder canal (urethra) to control leakage
57295,Revision and removal of prosthetic vaginal graft
57410,Pelvic examination under anesthesia
57415,Removal of impacted vaginal foreign body under anesthesia
57420,Examination of the vagina using an endoscope
57421,Biopsy of vagina and cervix using an endoscope
57423,Vaginal defect repair using an endoscope
57425,Vaginal defect repair using an endoscope
57452,Examination of the vagina and cervix using an endoscope
57454,Biopsy and scraping of the cervix using an endoscope
57455,Biopsy of cervix using an endoscope
57456,Scraping of the cervix using an endoscope
57460,Biopsy of cervix using an endoscope
57500,Biopsy of cervix or excision of local growths
57505,Scraping of tissue of cervix
57510,Electro or thermal destruction of cervix
57511,Freezing destruction of cervix
57522,Removal or destruction of cervix
57800,Dilation of tissue at uterine opening (cervix)
58100,Biopsy of uterine lining
58120,D&C for diagnosis and/or therapy (non-obstetrical)
58145,Vaginal removal of fibroid tumors (250 grams or less) of uterus
58150,Abdominal removal of uterus and cervix
58180,Abdominal removal of uterus
58200,Abdominal removal of uterus and partial removal of vagina
58210,"Abdominal removal of uterus, cervix, and lymph nodes on both sides of pelvis and aortic lymph node biopsy"
58260,Vaginal removal of uterus (250 grams or less)
58262,"Vaginal removal of uterus (250 grams or less), tubes, and/or ovaries"
58263,"Vaginal removal of uterus (250 grams or less), tubes, and/or ovaries with repair of herniated bowel"
58267,Vaginal removal of uterus (250 grams or less) with repair for stress incontinence
58270,Vaginal removal of uterus (250 grams or less) with repair of herniated bowel
58280,Vaginal removal of uterus and vagina with repair of herniated bowel into rectum or vagina
58340,Introduction of saline or X-ray contrast material for X-ray imaging of the uterus and tubes
58400,Anatomic repositioning of uterus
58542,"Partial removal of uterus (250 grams or less), tubes and/or ovaries with retention of cervix using an endoscope,"
58548,"Removal of uterus, cervix, and lymph nodes on both sides of pelvis and aortic lymph node biopsy using an endoscope"
58550,Vaginal removal of uterus (250 grams or less) using an endoscope
58552,"Vaginal removal of uterus (250 grams or less), tubes, and/or ovaries using an endoscope"
58555,Diagnostic examination of uterus using an endoscope
58558,Biopsy and/or removal of polyp of the uterus using an endoscope
58559,Release of uterine adhesions using an endoscope
58561,Removal of uterine muscle tumor using an endoscope
58563,Examination of uterus with destruction of uterine lining using an endoscope
58570,Abdominal removal of uterus (250 grams or less) using an endoscope
58571,Abdominal removal of uterus (250 grams or less) with removal of tubes and/or ovaries using an endoscope
58573,"Abdominal removal of uterus (greater than 250 grams), tubes, and/or ovaries using an endoscope"
58660,Removal of scar tissue of ovaries or uterine tubes using an endoscope
58661,Removal of ovaries and/or tubes using an endoscope
58662,Destruction or removal of ovary or pelvic growths using an endoscope
58720,Removal of uterine tubes and ovaries
58740,Removal of scar tissue of ovaries or uterine tubes
58953,"Removal of abdominal lining, uterus, both ovaries and fallopian tubes with tumor reduction"
58954,"Removal of abdominal lining, uterus, both ovaries and fallopian tubes, and pelvic and aortic lymph nodes with tumor reduction"
58957,"Removal of tubes, ovaries, uterus, and lymph nodes for uterine malignancy"
59025,Fetal non-stress test
59200,Insertion dilator device into cervix
60100,"Needle biopsy of thyroid, accessed through the skin"
60200,Incision of thyroid cyst or growth
60210,Partial removal of thyroid lobe on one side of the neck
60220,Total removal of thyroid lobe on one side of the neck
60225,Total removal of thyroid lobe on one side of the neck plus partial removal of thyroid lobe on the opposite side of the neck including the tissue in between
60240,Removal of thyroid
60252,Removal of thyroid and surrounding lymph nodes
60271,Removal of thyroid
60300,Aspiration and/or injection of thyroid cyst
60500,Removal or exploration of parathyroid glands
60502,Removal or re-exploration of parathyroid glands
60512,Excision and reimplantation of parathyroid tissue
60520,Removal of thymus gland through neck incision
60521,"Removal of thymus gland, sternal or chest approach"
60540,Abdominal exploration or removal of adrenal gland
60699,Endocrine system procedure
61020,"Aspiration of spinal fluid for diagnosis from skull soft spot, burr hole, or catheter in brain"
61026,"Aspiration of spinal fluid and injection into skull soft spot, burr hole, or catheter in ventricle of brain"
61055,Spinal puncture in upper spine with injection of substance
61070,Aspiration or injection of cerebrospinal fluid shunt tubing or reservoir
61107,Insertion of brain drainage catheter or fluid pressure recording or monitoring device
61108,Aspiration and/or drainage of blood accumulation in brain
61120,Injection into ventricle of brain
61140,Drainage or biopsy of brain or lesion
61154,Aspiration of blood accumulation in brain
61156,Aspiration of blood accumulation or cyst in brain
61210,"Implantation of brain catheter, reservoir, EEG electrodes, pressure or other monitoring device"
61312,Aspiration of blood accumulation in brain
61313,Aspiration of blood accumulation in brain
61458,Excision of skull base for exploration or release of cranial nerves
61510,Removal of brain tumor
61512,Removal of brain tumor
61548,Excision of pituitary gland tumor
61580,Removal of nasal sinuses to approach brain lesion
61581,Removal of nasal sinuses to approach brain lesion
61582,Removal of facial bone to approach brain lesion
61584,Removal of facial bone to approach brain lesion
61592,Removal of cheek bone and skull to approach brain lesion
61596,Removal of skull bone behind ear to approach brain lesion
61601,Removal of lesion at skull base
61605,Removal of lesion at skull base
61608,Removal of lesion at skull base
61616,Excision of abnormal blood vessel at skull base or upper spine bones
61618,Repair of brain covering by tissue or synthetic graft
61619,Repair of brain covering by vascular or combined vascular muscle graft
61623,Balloon occlusion of head or neck artery
61624,"Occlusion of abnormal artery, accessed through the skin"
61626,"Occlusion of head or neck artery, accessed through the skin"
61697,Repair of bulging of blood vessel (aneurysm) in brain
61700,Repair of bulging of blood vessel (aneurysm) in brain
61750,"Stereotactic biopsy, aspiration, or excision of brain lesion"
61751,"Stereotactic biopsy, aspiration, or excision of brain lesion using CT and/or MRI guidance"
61781,Computer-assisted procedure inside the brain
61782,Computer-assisted procedure outside the brain
61783,Computer-assisted spinal procedure
61790,"Stereotactic creation of lesion of cranial nerve, accessed through the skin"
61791,"Stereotactic creation of brainstem lesion, accessed through the skin"
61796,Stereotactic treatment of brain growth
61797,Stereotactic treatment of brain growth
61798,Stereotactic treatment of brain growth
61799,Stereotactic treatment of brain growth
61800,Application of headframe for stereotactic radiosurgery
61863,Implantation of neurostimulator electrodes in brain
61864,Implantation of neurostimulator electrodes in brain
61867,Implantation of brain neurostimulator electrodes microelectrode recording
61868,Implantation of brain neurostimulator electrodes with microelectrode recording
61880,Revision or removal of brain neurostimulator electrodes
61885,Insertion or replacement of brain neurostimulator generator or receiver
61886,Insertion or replacement of brain neurostimulator generator or receiver
61888,Revision or removal of brain neurostimulator generator or receiver
62100,Repair of membrane covering the brain
62140,Reshaping of (up to 5 centimeter diameter) skull bone defect
62141,Reshaping of (larger than 5 centimeter in diameter) skull bone defect
62142,Removal of bone flap or prosthesis from skull
62143,Replacement of bone flap or prosthesis in skull
62145,Reshaping of skull bone defect
62146,Reconstruction and (up to 5 centimeter in diameter) graft of skull bone defect
62160,Insertion of brain fluid shunt catheter using an endoscope
62165,Removal of pituitary gland tumor using an endoscope
62192,Creation of brain fluid drainage shunt
62220,Creation of brain fluid drainage shunt
62223,Creation of brain fluid drainage shunt
62225,Replacement or irrigation of brain fluid drainage shunt catheter
62230,Replacement or revision of brain fluid drainage shunt valve or catheter
62252,Reprogramming of programmable brain and spinal fluid shunt
62256,Removal of brain and spinal fluid shunt system
62263,"Injection or mechanical removal of spinal canal scar tissue, percutaneous procedure, accessed through the skin, multiple sessions over 2 or more days"
62264,"Injection or mechanical removal of spinal canal scar tissue, percutaneous procedure, accessed through the skin, multiple sessions in 1 day"
62267,"Diagnostic aspiration of spinal disc or tissue, accessed through the skin"
62268,"Aspiration of spinal cord cyst or fluid-filled cavity, accessed through the skin"
62269,"Needle biopsy of spinal cord, accessed beneath the skin"
62270,Spinal tap for diagnosis
62272,Spinal tap with drainage of spinal fluid
62273,Injection of blood or blood clot into spinal canal
62280,Injection of substance into spinal canal to destroy nerve tissue
62281,Injection of spinal canal to destroy nerve
62282,Injection of spinal canal to destroy nerve
62284,Injection of dye for X-ray imaging and/or CT of spinal canal
62287,"Aspiration of lower spine disc, accessed through the skin"
62290,Injection of dye for X-ray imaging of spine disc
62291,Injection of dye for X-ray imaging of spine disc
62292,Injection of chemical enzyme into herniated spinal disc
62310,Injections of substances into upper or middle spine
62311,Injections of substances into lower or sacral spine
62318,Injections and continuous infusion into upper or middle spinal canal
62319,Injections and continuous infusion into lower or sacral spinal canal
62350,"Implantation, revision, or repositioning of spinal canal medication catheter"
62351,"Implantation, revision, or repositioning of catheter in spinal canal for medication administration"
62355,Removal of implanted catheter in spinal canal
62360,Implantation or replacement of spinal canal drug infusion device beneath skin
62362,Implantation or replacement of programmable spinal canal drug infusion pump
62365,"Removal of spinal canal drug infusion pump or device, accessed beneath the skin"
62367,Electronic analysis of spinal canal drug infusion pump
62368,Electronic analysis and reprogramming of spinal canal drug infusion pump
62369,Electronic analysis reprogramming and refill of spinal canal drug infusion pump
62370,Electronic analysis reprogramming and refill of spinal canal drug infusion pump by physician
63001,Partial removal of bone and/or release of upper spinal cord or spinal nerves
63003,Partial removal of bone and/or release of middle spinal cord or spinal nerves
63005,Partial removal of bone and/or release of lower spinal cord or spinal nerves
63011,Partial removal of bone and/or release of sacral spinal cord or spinal nerves
63012,Partial removal of bone and/or release of lower spinal cord or spinal nerves
63015,Partial removal of bone with release of upper spinal cord or spinal nerves
63017,Partial removal of bone and/or release of lower spinal cord or spinal nerves
63020,Partial removal of bone with release of spinal cord or spinal nerves of 1 interspace in upper spine
63030,Partial removal of bone with release of spinal cord or spinal nerves of 1 interspace in lower spine
63035,Partial removal of bone with release of spinal cord or spinal nerves in upper or lower spine
63040,Re-exploration of spine repair with release of upper spinal cord or nerves
63042,Re-exploration of spine repair with release of lower spinal cord or nerves
63044,Re-exploration of spine repair with release of lower spinal cord or nerves
63045,Partial removal of upper spine bone with release of spinal cord and/or nerves
63046,Partial removal of middle spine bone with release of spinal cord and/or nerves
63047,Partial removal of middle spine bone with release of spinal cord and/or nerves
63048,Partial removal of spine bone with release of spinal cord and/or nerves
63051,Reconstruction of bone around spinal canal with release of spinal cord
63056,Release of lower spinal cord and/or nerves
63057,Release of middle or lower spinal cord and/or nerves
63075,Removal of upper spine disc and release of spinal cord and/or nerves
63076,Removal of upper spine disc and release of spinal cord and/or nerves
63077,Removal of middle spine disc and release of spinal cord and/or nerves
63081,"Removal of upper spine bone with release of spinal cord and/or nerves, anterior approach"
63082,"Removal of upper spine bone with release of spinal cord and/or nerves, anterior approach"
63090,"Removal of middle, lower, or sacral spine bone with release of spinal cord or nerves, transperitoneal or retroperitoneal approach"
63091,"Removal of middle, lower, or sacral spine bone with release of spinal cord or nerves, transperitoneal or retroperitoneal approach"
63101,"Removal of middle spine bone with release of spinal cord and/or nerves, lateral extracavitary approach"
63102,"Removal of lower spine bone with release of spinal cord and/or nerves, lateral extracavitary approach"
63103,"Removal of middle or lower spine bone with release of spinal cord and/or nerves, lateral extracavitary approach"
63185,Removal of spine bone with severing of nerve roots
63190,Removal of spine bone with severing of nerve roots
63265,Removal of upper spine bone and growth
63267,Removal of lower spine bone and growth
63268,Removal of sacral spine bone and growth
63272,Removal of lower spine bone and growth
63273,Removal of sacral spine bone and growth
63276,Removal or biopsy of middle spine bone growth
63283,Removal or biopsy of sacral spine bone growth
63600,"Creation of stereotactic spinal cord lesion, accessed through the skin"
63620,Stereotactic treatment of spine growth
63650,"Implantation of spinal neurostimulator electrodes, accessed through the skin"
63655,Implantation of spinal neurostimulator electrodes
63661,"Removal or revision of spinal neurostimulator electrodes, accessed through the skin"
63662,Removal of spinal neurostimulator electrodes
63663,Revision and replacement of spinal neurostimulator electrodes
63664,Revision and replacement of spinal neurostimulator electrodes
63685,Insertion of spinal neurostimulator pulse generator or receiver
63688,Removal or revision of neurostimulator pulse generator or receiver
63707,Repair of spinal fluid leak
63709,Repair of spinal fluid leak
63710,Placement of spinal cord graft
63744,"Replacement, irrigation, or revision of lower spinal canal shunt"
64400,"Injection of anesthetic agent, trigeminal nerve"
64402,"Injection of anesthetic agent, facial nerve"
64405,"Injection of anesthetic agent, greater occipital nerve"
64412,"Injection of anesthetic agent, spinal accessory nerve"
64413,"Injection of anesthetic agent, neck nerve bundle"
64415,"Injection of anesthetic agent, brachial (arm) nerve bundle"
64416,"Injection by continuous infusion of anesthetic agent, brachial (arm) nerve bundle"
64417,Injection of anesthetic agent underarm (axillary) nerve
64418,"Injection of anesthetic agent, collar bone nerve"
64420,"Injection of anesthetic agent, of rib nerve"
64421,Injection of anesthetic agent of multiple rib nerves
64425,"Injection of anesthetic agent, groin nerves"
64430,"Injection of anesthetic agent, pudendal (external genital) nerve"
64445,"Injection of anesthetic agent, sciatic nerve"
64446,"Injection by continuous infusion of anesthetic agent, sciatic nerve"
64447,"Injection of anesthetic agent, thigh nerve"
64448,"Injection by continuous infusion of anesthetic agent, thigh nerve"
64449,"Injection by continuous infusion of anesthetic agent into lumbar nerve bundle, posterior approach"
64450,"Injection of anesthetic agent, other peripheral nerve or branch"
64455,Injections of anesthetic and/or steroid drug into nerve of foot
64479,Injections of anesthetic and/or steroid drug into upper or middle spine nerve root using imaging guidance
64480,Injections of anesthetic and/or steroid drug into upper or middle spine nerve root using imaging guidance
64483,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance
64484,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance
64490,Injections of upper or middle spine facet joint using imaging guidance
64491,Injections of upper or middle spine facet joint using imaging guidance
64492,Injections of upper or middle spine facet joint using imaging guidance
64493,Injections of lower or sacral spine facet joint using imaging guidance
64494,Injections of lower or sacral spine facet joint using imaging guidance
64495,Injections of lower or sacral spine facet joint using imaging guidance
64505,"Injection of anesthetic agent, trigeminal nerve bundle"
64510,"Injection of anesthetic agent, sympathetic nerve bundle"
64517,"Injection of anesthetic agent, sacral nerve bundle"
64520,"Injection of anesthetic agent, middle or lower spine sympathetic nerves"
64530,"Injection of anesthetic agent, abdominal sympathetic nerve bundle"
64550,Application of skin surface neurostimulator electrodes
64553,"Implantation of cranial nerve neurostimulator electrodes, accessed through the skin"
64555,"Implantation of peripheral nerve neurostimulator electrodes, accessed through the skin"
64561,"Insertion of sacral nerve neurostimulator electrodes, accessed through the skin"
64565,"Implantation of muscular tissue neurostimulator electrodes, accessed through the skin"
64566,"Implantation of lower leg neurostimulator electrode, accessed through the skin"
64568,Implantation of cranial nerve neurostimulator electrodes and generator
64575,Incision to implant peripheral nerve neurostimulator electrodes
64581,Incision to insert sacral nerve neurostimulator electrodes
64585,Revision or removal of peripheral neurostimulator electrode array
64590,Insertion or replacement of peripheral or gastric neurostimulator generator
64595,Revision or removal of peripheral nerve or gastric neurostimulator generator
64600,Destruction of trigeminal (facial) nerve branch
64605,Destruction of trigeminal (facial) nerve branch
64610,Destruction of trigeminal (facial) nerve branch under X-ray monitoring
64611,Injection of chemical for destruction of salivary glands on both sides of the mouth
64612,Injection of chemical for destruction of nerve muscles on one side of face
64615,Injection of chemical for destruction of facial and neck nerve muscles on both sides of face
64616,Injection of chemical for destruction of nerve muscles on one side of neck excluding voice box accessed through the skin
64617,Injection of chemical for destruction of nerve muscles on one side of voice box accessed through the skin
64620,Injection of agent to destroy rib nerve
64630,Destruction of pudendal (external genital) nerve
64632,Destruction of nerve of foot
64633,Destruction of upper or middle spinal facet joint nerves using imaging guidance
64634,Destruction of upper or middle spinal facet joint nerves with imaging guidance
64635,Destruction of lower or sacral spinal facet joint nerves using imaging guidance
64636,Destruction of lower or sacral spinal facet joint nerves with imaging guidance
64640,Destruction of peripheral nerve or branch
64642,"Injection of chemical for destruction of nerve muscles on arm or leg, 1-4 muscles"
64643,"Injection of chemical for destruction of nerve muscles on arm or leg, 1-4 muscles"
64644,"Injection of chemical for destruction of nerve muscles on arm or leg, 5 or more muscles"
64645,"Injection of chemical for destruction of nerve muscles on arm or leg, 5 or more muscles"
64646,"Injection of chemical for destruction of nerve muscles on trunk, 5 or more muscles"
64647,"Injection of chemical for destruction of nerve muscles on trunk, 6 or more muscles"
64680,Injection of agent to destroy abdominal sympathetic nerve bundle
64681,Injection of agent to destroy sacral nerve bundle
64702,Release of nerve of finger
64704,Release of nerve of hand or foot
64708,"Release of nerve of arm or leg, open procedure"
64712,"Release of sciatic nerve, open procedure"
64713,"Release of major nerve of arm or leg, open procedure"
64714,"Release of nerve of upper leg, open procedure"
64716,Release and/or relocation of cranial nerve
64718,Release and/or relocation of ulnar nerve at elbow
64719,Release and/or relocation ulnar nerve at wrist
64721,Release and/or relocation of median nerve of hand
64722,Release of unspecified nerve
64726,Release of nerve at sole of foot
64727,Release of nerve requiring use of operating microscope
64771,Incision or removal of cranial nerve
64772,Incision or removal of spinal nerve
64774,Removal of growth of skin nerve
64782,Removal of growth of hand or foot nerve
64784,Removal of growth of peripheral nerve
64787,Implantation of nerve end into bone or muscle
64795,Biopsy of nerve
64818,Removal of lower spine sympathetic nerves
64820,Removal of finger or toe sympathetic nerve
64856,"Suture of peripheral nerve, arm or leg, with relocation to new site"
64885,Placement of (up to 4 centimeter length) head or neck nerve graft
64910,Repair of nerve with graft
64999,Nervous system procedure
65093,Removal of eye contents with insertion of implant
65103,Removal of eyeball with implant
65105,Removal of eyeball with implant attached to muscles
65175,Removal of ocular implant
65205,"Removal of foreign body in external eye, conjunctiva"
65210,"Removal of foreign body in external eye, conjunctiva or sclera"
65220,"Removal of foreign body, external eye, cornea"
65222,"Removal of foreign body, external eye, cornea with slit lamp examination"
65265,Removal of foreign body from inside eye
65285,Repair of perforating laceration of cornea and/or sclera
65286,Repair of lacerated cornea and/or sclera
65290,Repair of injured eye muscle or tendon
65400,Removal of growth of cornea
65420,Removal or relocation of corneal conjunctiva
65426,Removal or relocation of corneal conjunctiva
65430,Scraping of cornea for diagnosis
65435,Removal of outer layer of cornea
65436,Removal of outer layer of cornea
65450,Destruction of lesion of cornea
65600,Multiple punctures of cornea
65710,Transplantation of tissue from one cornea to other cornea
65730,Transplantation of tissue from one cornea to other cornea
65750,Transplantation of tissue from one cornea to other cornea
65755,Transplantation of tissue from one cornea to other cornea
65756,Transplant of outer layer of corneal tissue
65757,Preparation of corneal tissue for transplant
65770,Placement of tube with optical power to cornea
65772,Incisions to cornea to correct astigmatism
65778,Insertion of amniotic membrane to eye surface
65779,Insertion of amniotic membrane to eye surface with sutures
65780,Transplantation of fetal sac tissue to cornea
65782,Transplantation of stem cells from one cornea to other cornea
65800,Aspiration of eye fluid
65810,Aspiration of eye fluid
65815,Aspiration of blood from eye
65820,Incision to improve eye fluid flow
65850,Insertion of eye fluid drainage tube
65855,"Laser repair to improve eye fluid flow, 1 or more sessions"
65860,Laser removal of scar tissue in eye
65865,Removal of scar tissue in eye
65870,Removal of scar tissue in eye
65875,Removal of scar tissue in eye
65900,Removal of outer lining of cornea
65920,Removal of implanted lens in eye
65930,Removal of blood clot from eye
66020,Injection of air or liquid into eye
66030,Injection of medication into eye
66130,Removal of growth of sclera
66150,Creation of eye fluid drainage tract with removal of iris
66160,Creation of eye fluid drainage tract with removal of sclera and iris
66170,Creation of eye fluid drainage tract
66172,Creation of eye fluid drainage tract
66174,Dilation to improve eye fluid flow
66175,Dilation with insertion of device or stent to improve eye fluid flow
66180,Creation of shunt to improve eye fluid flow
66183,Insertion of eye fluid drainage device
66185,Revision of eye fluid drainage shunt
66225,Removal of protrusion sclera or cornea with graft
66250,Revision or repair of operative wound of eye
66500,Incision of iris to improve eye fluid flow
66505,Incision and drainage of eye fluid accumulation in iris
66625,Removal of iris to improve eye fluid flow
66635,Removal of iris and eyelid border to improve eye fluid flow
66680,Repair of iris and lens tissue
66682,Repair of iris and lens tissue
66710,Destruction of lens tissue using laser
66711,Destruction of tissue encircling lens using en endoscope
66720,Destruction of tissue encircling lens
66740,Destruction of tissue of eyelid border
66761,"Creation of eye fluid drainage tracts in iris using laser, per session"
66762,"Creation of openings in iris for eye fluid drainage using laser, 1 or more sessions"
66770,Destruction of growth of iris using laser
66820,Removal of recurring cataract in lens capsule
66821,Removal of recurring cataract in lens capsule using laser
66825,Repositioning of lens prosthesis
66830,Removal of recurring cataract in lens capsule
66840,Aspiration removal of lens material
66850,"Fragmenting, aspiration, and removal of lens material"
66852,Removal of lens material
66940,Removal of lens material and portion of lens capsule
66982,Removal of cataract with insertion of lens
66983,Removal of cataract with insertion of lens
66984,Removal of cataract with insertion of lens
66985,Insertion of lens prosthesis
66986,Exchange of lens prosthesis
66990,Examination of eye using an endoscope
66999,Anterior (front) eye procedure
67005,Partial removal of eye fluid between the lens and retina
67010,Partial removal of eye fluid between the lens and retina
67015,Aspiration or release of eye fluid between the lens and retina
67025,Injection of synthetic eye fluid
67027,Implantation of eye drug delivery system
67028,Injection of drug into eye
67030,Cutting of strands of eye fluid (vitreous) between the lens and retina
67031,Laser release of scar tissue between the lens and retina
67036,Removal of eye fluid (vitreous) between the lens and retina
67039,Laser destruction of eye fluid (vitreous) between the lens and retina
67040,Laser destruction of eye fluid (vitreous) between the lens and retina
67041,Removal of membrane from the retina
67042,"Removal of membrane from the retina, pars plana approach"
67043,"Removal of membrane from the retina, pars plana approach"
67101,"Repair of detached retina, 1 or more sessions"
67105,"Repair of detached retina, 1 or more sessions"
67107,Repair of detached retina and drainage of eye fluid between lens and retina
67108,Repair of detached retina and drainage of eye fluid between lens and retina
67110,Repair of detached retina by injection of air or gas
67112,Repair of detached retina
67113,Repair of detached retina and drainage of eye fluid between lens and retina
67120,Removal of implant material from outside the eye
67121,Removal of implant material from inside the eye
67141,"Preventive retinal detachment treatment by heat or freezing, 1 or more sessions"
67145,"Preventive retinal detachment treatment by heat or laser, 1 or more sessions"
67208,"Destruction of retinal growth by heat or freezing, 1 or more sessions"
67210,"Laser destruction of retinal growth, 1 or more sessions"
67218,"Destruction of retinal growth with implantation of radiation source, 1 or more sessions"
67220,"Destruction of vascular growth between retina and sclera, 1 or more sessions"
67221,Destruction of vascular growth between retina and sclera
67225,"Destruction of vascular growth between retina and sclera, at single session"
67227,"Destruction of leaking retinal blood vessels, 1 or more sessions"
67228,"Laser destruction of leaking retinal blood vessels, 1 or more sessions"
67250,Repair of defect in sclera
67255,Repair of defect of sclera with graft
67299,Procedure at back of eye
67311,Realignment of the eye with repair of one horizontal eye muscle
67312,Realignment of the eye with repair of two horizontal eye muscles
67314,Realignment of the eye with repair of one vertical muscle
67316,Realignment of the eye with repair of two or more vertical muscles
67320,Relocation of eye muscles to restore function
67331,Realignment of eye having prior surgery or injury
67332,Realignment of eye having scarring or restrictive muscle movement
67334,Realignment of the eye by muscle fixation
67335,Insertion of adjustable sutures during eye muscle surgery
67343,Release of extensive eye scar tissue
67345,Injection of chemical for destruction of eye muscle
67400,"Exploration of cavity behind eye, frontal or transconjunctival approach"
67412,Removal of growth in cavity behind eye
67415,Fine needle aspiration of orbital contents
67420,Removal of bone and growth in cavity behind eye
67450,"Exploration of cavity behind eye with bone flap, lateral approach"
67500,Injection of medication into cavity behind eye
67505,Injection of alcohol into cavity behind eye
67515,Injection of medication or substance into membrane covering eyeball
67550,Insertion of implant outside eye muscles
67560,Removal or revision of implant outside eye muscles
67700,Incision and drainage of eyelid abscess
67710,Removal of sutures between upper and lower eyelids
67715,Incision of corner of eye at eyelids
67800,Removal of eyelid growth
67801,Removal of multiple growths of same eyelid
67805,Removal of multiple growths of different eyelids
67810,Biopsy of eyelid
67820,Removal of eyelashes by forceps
67825,Removal of eyelashes
67830,Incisional removal of eyelashes
67840,Removal of eyelid growth
67850,Destruction of (up to 1 centimeter) growth of eyelid margin
67875,Temporary closure of eyelids by suture
67880,Creation of permanent eyelid margin scarring
67882,Creation of permanent eyelid margin scarring with relocation of eyelid tissue
67900,Repair of brow paralysis
67901,Repair of upper eyelid muscle to correct drooping or paralysis
67903,Shortening or advancement of upper eyelid muscle to correct drooping or paralysis
67904,Repair of tendon of upper eyelid
67908,"Removal of tissue, muscle, and membrane to correct eyelid drooping or paralysis"
67911,Correction of widely-opened upper eyelid
67912,Restoration of eyelid blinking function
67914,Suture repair of a turning-outward defect of upper or lower eyelid
67915,Repair of a turning-outward defect of upper or lower eyelid using heat
67916,Repair of turning-outward eyelid defect
67917,Extensive repair of turning-outward eyelid defect
67921,Suture repair of turning-inward eyelid defect
67923,Repair of turning-inward eyelid defect
67924,Repair of turning-inward eyelid defect
67935,Repair of wound of eyelid margin
67938,Removal of embedded foreign body in eyelid
67950,Enlargement of eyelid margin
67961,Removal of up to one-fourth of the eyelid involving lid margin
67966,Removal of over one-fourth of the eyelid involving lid margin
67971,Reconstruction of up to two-thirds of the eyelid by transfer of opposite eyelid tissue
67973,Reconstruction of lower eyelid by transfer of eyelid tissue from opposite eyelid
67974,Reconstruction of upper eyelid by transfer of eyelid tissue from opposite eyelid
67975,Reconstruction of an eyelid by transfer of eyelid tissue from opposite eyelid
67999,Eyelid procedure
68020,Incision and drainage of eye cyst
68040,Removal of scarring of lining of eyelid due to infection
68100,Biopsy of sclera
68110,Removal of (up to 1 centimeter) growth of sclera
68115,Removal of (over 1 centimeter) growth of sclera
68130,Removal of growth of sclera
68135,Destruction of growth of sclera
68200,Injection into conjunctiva
68320,Repair of conjunctiva
68325,Repair of conjunctiva
68326,Reconstruction of conjunctiva
68330,Release of scar tissue from conjunctiva
68335,Release of scar tissue from eyelids
68340,Release of scar tissue from eyelids
68362,Relocation of conjunctival flap
68400,Drainage of tear-producing gland
68440,Snip incision of tear-drainage opening at inner corner of the eye
68520,Removal of tear sac of the eye
68525,Biopsy of tear sac of the eye
68530,Removal of foreign body or stone from tear passages
68700,Plastic repair of tear ducts
68705,Release of tissue at tear duct opening
68720,Creation of drainage tract from tear sac to the nasal cavity
68745,Creation of a tear drainage tract to the nasal cavity
68750,Creation of a tear drainage tract to the nasal cavity with insertion of tube or stent
68760,Repair duct opening
68761,Closure of tear duct opening using plug
68770,Closure of abnormal tear-drainage tract
68801,Dilation of tear-drainage opening
68810,Insertion of probe into the tear duct
68811,Insertion of probe into the tear duct under anesthesia
68815,Probing of nasal-tear duct with insertion of tube or stent
68816,Probing of nasal-tear duct with balloon catheter dilation
68840,Probing of nasal-tear duct
68850,Injection of contrast for X-ray imaging of tear sac
69000,Incision and drainage of external ear abscess or blood accumulation
69005,Incision and drainage of external ear abscess or blood accumulation
69020,Incision and drainage of ear canal abscess
69100,Biopsy of ear
69105,Biopsy of ear canal
69110,Removal of portion of external ear
69120,Removal of entire ear
69140,Removal of bony growths of ear canal
69145,Removal of soft tissue growth of ear canal
69200,Removal of foreign body from ear canal
69205,Removal of foreign body from ear canal under anesthesia
69210,"Removal of impact ear wax, one ear"
69220,Removal of skin debris and drainage of mastoid cavity
69222,Removal of skin debris and drainage of mastoid cavity
69310,Reconstruction of ear canal
69399,External ear procedure
69400,Inflation of tube from middle ear to throat with catheter insertion through the nose
69401,Inflation of tube from middle ear to throat through the nose
69420,"Incision, aspiration, and/or inflation of eardrum"
69424,Removal of implanted eardrum tube under anesthesia
69433,Incision of eardrum with insertion of eardrum tube under local or topical anesthesia
69436,Incision of eardrum with insertion of eardrum tube under general anesthesia
69440,Middle ear exploration
69450,Incision of ear canal with release of scar tissue
