INSTNM,CITY,STABBR,HBCU,MENONLY,WOMENONLY,RELAFFIL,SATVRMID,SATMTMID,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,PCTPELL,PCTFLOAN,UG25ABV,MD_EARN_WNE_P10,GRAD_DEBT_MDN_SUPP
Fortis College-Centerville,Centerville,OH,0.0,0.0,0.0,0,,,0.0,1645.0,0.3046,0.1052,0.0049,0.0018,0.0,0.0012,0.003,0.0012,0.5781,0.0,1,0.848,0.8537,0.7266,28700,23710
University of Rio Grande,Rio Grande,OH,0.0,0.0,0.0,0,,,0.0,1329.0,0.8352,0.0579,0.0098,0.0015,0.0023,0.0008,0.0023,0.0113,0.079,0.1753,1,0.6188,0.6668,0.3826,30700,20000
Advertising Art Educational Services DBA School of Advertising Art,Kettering,OH,0.0,0.0,0.0,0,,,0.0,139.0,0.9353,0.036000000000000004,0.0144,0.0144,0.0,0.0,0.0,0.0,0.0,0.0144,1,0.3929,0.9,0.0357,30100,12000
Shawnee State University,Portsmouth,OH,0.0,0.0,0.0,0,,,0.0,3753.0,0.8657,0.0562,0.0067,0.0032,0.0064,0.0003,0.0155,0.0131,0.033,0.1346,1,0.5384,0.6994,0.215,32700,23425.5
Sinclair Community College,Dayton,OH,0.0,0.0,0.0,0,,,0.0,16090.0,0.6571,0.1482,0.0278,0.0133,0.0052,0.0017,0.0271,0.0132,0.1062,0.6988,1,0.4224,0.3838,0.47100000000000003,27300,11818
Gallipolis Career College,Gallipolis,OH,0.0,0.0,0.0,0,,,0.0,96.0,0.9479,0.0417,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0.9619,0.9333,0.8476,14500,27625
Daymar College-New Boston,New Boston,OH,0.0,0.0,0.0,0,,,0.0,52.0,0.9615,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3654,1,0.9425,0.9540000000000001,0.6667,20100,22797.5
Daymar College-Jackson,Jackson,OH,0.0,0.0,0.0,0,,,0.0,34.0,0.9706,0.0,0.0,0.0,0.0,0.0,0.0294,0.0,0.0,0.0882,1,0.9091,0.8831,0.5974,20100,22797.5
Daymar College-Lancaster,Lancaster,OH,0.0,0.0,0.0,0,,,0.0,45.0,0.9778,0.0222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333,1,0.8116,0.8696,0.6522,20100,22797.5
Daymar College-Chillicothe,Chillicothe,OH,0.0,0.0,0.0,0,,,0.0,38.0,0.9474,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2895,1,0.8816,0.8684,0.6842,20100,22797.5
Brown Mackie College-Cincinnati,Cincinnati,OH,0.0,0.0,0.0,0,,,0.0,918.0,0.4096,0.5599,0.0185,0.0054,0.0022,0.0011,0.0,0.0,0.0033,0.0,1,0.8919,0.7694,0.6191,27400,22141.5
Brown Mackie College-Akron,Akron,OH,0.0,0.0,0.0,0,,,0.0,533.0,0.6604,0.3058,0.0225,0.0056,0.0019,0.0,0.0,0.0,0.0038,0.0,1,0.8401,0.7853,0.6023,27400,22141.5
Stark State College,North Canton,OH,0.0,0.0,0.0,0,,,0.0,11319.0,0.6949,0.1957,0.0112,0.0122,0.0038,0.0008,0.0277,0.0001,0.0535,0.6536,1,0.5553,0.5889,0.4972,30400,21134
Stautzenberger College-Maumee,Maumee,OH,0.0,0.0,0.0,0,,,0.0,708.0,0.6158,0.2514,0.0805,0.0014,0.0014,0.0,0.040999999999999995,0.0,0.0085,0.5607,1,0.8025,0.9304,0.5747,27200,20000
Franciscan University of Steubenville,Steubenville,OH,0.0,0.0,0.0,1,600.0,580.0,0.0,2065.0,0.8276,0.0034,0.0973,0.0179,0.0015,0.0005,0.0208,0.0097,0.0213,0.0329,1,0.2562,0.7618,0.0417,35000,23316.5
Southern State Community College,Hillsboro,OH,0.0,0.0,0.0,0,,,0.0,1952.0,0.9288,0.0154,0.0097,0.0026,0.0046,0.002,0.0128,0.0,0.0241,0.4887,1,0.733,0.6162,0.4023,26600,13681
Terra State Community College,Fremont,OH,0.0,0.0,0.0,0,,,0.0,2015.0,0.8303,0.0422,0.0908,0.004,0.005,0.0,0.0079,0.0045,0.0154,0.6392,1,0.4365,0.5525,0.4424,28500,17837
Tiffin Academy of Hair Design,Tiffin,OH,0.0,0.0,0.0,0,,,0.0,56.0,0.8929,0.0536,0.0536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6145,0.7108,0.3571,16600,10045.5
Tiffin University,Tiffin,OH,0.0,0.0,0.0,0,,,0.0,2603.0,0.4422,0.1667,0.0257,0.0046,0.0015,0.0004,0.0238,0.0749,0.2601,0.2486,1,0.5417,0.7598,0.4267,37500,26000
University of Toledo,Toledo,OH,0.0,0.0,0.0,0,508.0,535.0,0.0,15182.0,0.691,0.1364,0.0437,0.0228,0.002,0.0007,0.0256,0.0551,0.0226,0.1635,1,0.3597,0.5686,0.1591,40000,24000
Kaplan Career Institute-Cleveland,Brooklyn,OH,0.0,0.0,0.0,1,,,0.0,91.0,0.2967,0.4725,0.0989,0.011000000000000001,0.033,0.011000000000000001,0.0,0.0,0.0769,0.0,0,0.799,0.6459,0.7517,33200,9500
Tri-State Bible College,South Point,OH,0.0,0.0,0.0,1,,,0.0,62.0,0.4677,0.5323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.629,1,0.6779999999999999,0.7966,0.8814,PrivacySuppressed,PrivacySuppressed
Tri-County Adult Career Center,Nelsonville,OH,0.0,0.0,0.0,0,,,0.0,105.0,0.9143,0.0286,0.0095,0.0,0.0,0.0,0.0381,0.0,0.0095,0.0,1,0.3164,0.0,0.4961,PrivacySuppressed,PrivacySuppressed
Tri-Rivers Career Center,Marion,OH,0.0,0.0,0.0,0,,,0.0,142.0,0.9437,0.0282,0.006999999999999999,0.0,0.006999999999999999,0.0,0.0141,0.0,0.0,0.1338,1,0.47700000000000004,0.5862,0.5443,37400,6334
Trinity Lutheran Seminary,Columbus,OH,0.0,0.0,0.0,1,,,0.0,,,,,,,,,,,,1,,,,,PrivacySuppressed
Trumbull Business College,Warren,OH,0.0,0.0,0.0,0,,,0.0,192.0,0.7708,0.1927,0.0156,0.0,0.0,0.0,0.0208,0.0,0.0,0.276,1,0.9042,0.8042,0.7833,20000,23896.5
Union Institute & University,Cincinnati,OH,0.0,0.0,0.0,0,,,0.0,1056.0,0.4223,0.1941,0.2652,0.0123,0.0038,0.0028,0.0265,0.0,0.0729,0.4725,1,0.5858,0.7824,0.9218,39600,18750
United Theological Seminary,Dayton,OH,0.0,0.0,0.0,1,,,0.0,,,,,,,,,,,,1,,,,,PrivacySuppressed
Upper Valley Career Center,Piqua,OH,0.0,0.0,0.0,0,,,0.0,108.0,0.9537,0.0278,0.0,0.0,0.0185,0.0,0.0,0.0,0.0,0.4815,1,0.0671,0.0736,0.763,21900,8578.5
Urbana University,Urbana,OH,0.0,0.0,0.0,0,,,0.0,868.0,0.6025,0.2062,0.0115,0.0012,0.0012,0.0035,0.0161,0.0472,0.1106,0.2719,1,0.3586,0.5038,0.1919,35800,27000
Ursuline College,Pepper Pike,OH,0.0,0.0,1.0,1,510.0,520.0,0.0,694.0,0.647,0.2637,0.0274,0.0101,0.0014,0.0,0.0274,0.0101,0.013000000000000001,0.3012,1,0.4373,0.8472,0.4373,42300,28000
Valley Beauty School,Cambridge,OH,0.0,0.0,0.0,1,,,0.0,10.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6857,0.1143,0.6552,14600,PrivacySuppressed
Virginia Marti College of Art and Design,Lakewood,OH,0.0,0.0,0.0,0,,,0.0,162.0,0.5123,0.3457,0.0556,0.0062,0.0062,0.0,0.0741,0.0,0.0,0.358,1,0.6289,0.8814,0.289,28500,26500
Walsh University,North Canton,OH,0.0,0.0,0.0,1,495.0,510.0,0.0,2257.0,0.7687,0.0651,0.0288,0.0049,0.004,0.0009,0.0253,0.0213,0.0811,0.1613,1,0.3501,0.7677,0.2025,41700,28000
Washington State Community College,Marietta,OH,0.0,0.0,0.0,0,,,0.0,1136.0,0.9481,0.0123,0.0123,0.0018,0.0062,0.0009,0.0114,0.0,0.006999999999999999,0.4269,1,0.3309,0.2494,0.2626,26700,10304.5
Western Hills School of Beauty and Hair Design,Cincinnati,OH,0.0,0.0,0.0,0,,,0.0,206.0,0.2087,0.7476,0.0049,0.034,0.0,0.0,0.0,0.0,0.0049,0.4272,1,0.8179,0.8324,0.8108,17400,14250
Wilberforce University,Wilberforce,OH,1.0,0.0,0.0,1,,,0.0,364.0,0.0027,0.9368,0.0055,0.0,0.0082,0.0,0.0027,0.011000000000000001,0.033,0.044000000000000004,1,0.8963,0.5097,0.1901,31200,18786
Wilmington College,Wilmington,OH,0.0,0.0,0.0,1,,475.0,0.0,1196.0,0.7784,0.0911,0.0184,0.0017,0.0059,0.0,0.0334,0.0084,0.0627,0.0719,1,0.4052,0.7735,0.0958,38100,27058
Winebrenner Theological Seminary,Findlay,OH,0.0,0.0,0.0,1,,,0.0,,,,,,,,,,,,1,,,,,PrivacySuppressed
Wittenberg University,Springfield,OH,0.0,0.0,0.0,1,,,0.0,1896.0,0.8096,0.067,0.0327,0.0105,0.0016,0.0005,0.0496,0.0195,0.009000000000000001,0.0311,1,0.2433,0.7647,0.0546,41400,27000
The College of Wooster,Wooster,OH,0.0,0.0,0.0,0,595.0,615.0,0.0,2029.0,0.7033,0.0779,0.0458,0.0439,0.0123,0.0005,0.0,0.0818,0.0345,0.0074,1,0.1957,0.4943,0.0043,46400,26000
Wright State University-Main Campus,Dayton,OH,0.0,0.0,0.0,0,,,0.0,12090.0,0.7165,0.1285,0.0289,0.023,0.0026,0.0013,0.0404,0.0567,0.0022,0.1818,1,0.379,0.5498,0.2092,38300,25000
Wright State University-Lake Campus,Celina,OH,0.0,0.0,0.0,0,,,0.0,954.0,0.8899,0.0346,0.0241,0.0063,0.0031,0.0,0.0241,0.0178,0.0,0.2023,1,0.3522,0.4526,0.2181,38300,25000
Xavier University,Cincinnati,OH,0.0,0.0,0.0,1,545.0,545.0,0.0,4464.0,0.7236,0.0992,0.0488,0.0228,0.0025,0.0018,0.0354,0.0211,0.0448,0.0504,1,0.1755,0.569,0.0816,47300,27000
ITT Technical Institute-Youngstown,Youngstown,OH,0.0,0.0,0.0,0,,,0.0,511.0,0.7534,0.1605,0.0274,0.0039,0.0078,0.0,0.0274,0.0,0.0196,0.2329,0,0.8517,0.8792,0.6970000000000001,38800,25827.5
Youngstown State University,Youngstown,OH,0.0,0.0,0.0,0,475.0,485.0,0.0,10695.0,0.7627,0.1223,0.0344,0.0091,0.0023,0.0007,0.0219,0.0103,0.0363,0.1872,1,0.4903,0.6583,0.2492,33600,27000
American Broadcasting School-Oklahoma City,Oklahoma City,OK,0.0,0.0,0.0,0,,,0.0,23.0,0.5217,0.4783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.625,0.5625,0.8333,27300,7023
Bacone College,Muskogee,OK,0.0,0.0,0.0,1,398.0,428.0,0.0,939.0,0.1917,0.3099,0.0895,0.0288,0.2556,0.0053,0.0298,0.0,0.0895,0.114,1,0.9392,0.892,0.1648,29700,26350
Oklahoma Wesleyan University,Bartlesville,OK,0.0,0.0,0.0,1,475.0,495.0,0.0,1153.0,0.6574,0.0676,0.0763,0.0043,0.0711,0.0026,0.0442,0.0581,0.0182,0.4796,1,0.3756,0.6845,0.4769,46100,21276.5
Southern Nazarene University,Bethany,OK,0.0,0.0,0.0,1,,,0.0,1704.0,0.6496,0.1291,0.0722,0.0217,0.0299,0.0047,0.0358,0.0252,0.0317,0.0411,1,0.4515,0.65,0.3551,45800,18750
Broken Arrow Beauty College-Broken Arrow,Broken Arrow,OK,0.0,0.0,0.0,0,,,0.0,39.0,0.5641,0.0769,0.1026,0.0256,0.0769,0.0,0.1538,0.0,0.0,0.0769,1,0.5758,0.5909,0.3556,16800,9259
Pontotoc Technology Center,Ada,OK,0.0,0.0,0.0,0,,,0.0,106.0,0.5849,0.0283,0.0377,0.0,0.3208,0.0,0.0,0.0,0.0283,0.28300000000000003,1,0.5705,0.0,0.4957,28500,PrivacySuppressed
Cameron University,Lawton,OK,0.0,0.0,0.0,0,,,0.0,4716.0,0.4852,0.1628,0.1234,0.017,0.0566,0.0066,0.0772,0.049,0.0223,0.281,1,0.4923,0.4332,0.4138,33400,18500
Carl Albert State College,Poteau,OK,0.0,0.0,0.0,0,,,0.0,2001.0,0.5922,0.0385,0.053,0.0035,0.2009,0.002,0.0845,0.0205,0.005,0.2844,1,0.4508,0.1599,0.3434,25100,6500
Central State Beauty and Wellness College,Oklahoma City,OK,0.0,0.0,0.0,0,,,0.0,136.0,0.4338,0.3603,0.0956,0.0074,0.0368,0.0,0.0662,0.0,0.0,0.375,1,0.8646,0.7817,0.5769,14000,6333
University of Central Oklahoma,Edmond,OK,0.0,0.0,0.0,0,,,0.0,14728.0,0.5824,0.0924,0.08,0.0317,0.0389,0.0018,0.08,0.0756,0.0172,0.2825,1,0.3498,0.4066,0.264,38300,21325
Claremore Beauty College,Claremore,OK,0.0,0.0,0.0,0,,,0.0,15.0,0.6667,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,1,0.9545,0.5909,0.1765,PrivacySuppressed,PrivacySuppressed
Connors State College,Warner,OK,0.0,0.0,0.0,0,,,0.0,1814.0,0.5099,0.0838,0.0276,0.0011,0.3225,0.0,0.0237,0.0287,0.0028,0.3037,1,0.5073,0.3720000000000001,0.3801,29600,10233
East Central University,Ada,OK,0.0,0.0,0.0,0,440.0,500.0,0.0,3636.0,0.5803,0.0393,0.0495,0.0047,0.1416,0.0014,0.1009,0.0619,0.0204,0.1826,1,0.4647,0.4099,0.2643,34500,18010
Eastern Oklahoma State College,Wilburton,OK,0.0,0.0,0.0,0,,,0.0,1325.0,0.5660000000000001,0.0747,0.0513,0.0068,0.2664,0.003,0.0181,0.0015,0.0121,0.3502,1,0.5033,0.256,0.3444,29800,13062.5
Redlands Community College,El Reno,OK,0.0,0.0,0.0,0,,,0.0,1288.0,0.625,0.0536,0.0955,0.006999999999999999,0.1374,0.0,0.0155,0.0,0.066,0.4736,1,0.2073,0.1232,0.2104,31500,8750
Enid Beauty College,Enid,OK,0.0,0.0,0.0,0,,,0.0,38.0,0.8421,0.0,0.1316,0.0,0.0263,0.0,0.0,0.0,0.0,0.0,1,0.7403,0.5974,0.3256,PrivacySuppressed,5527.5
Eves College of Hairstyling,Lawton,OK,0.0,0.0,0.0,0,,,0.0,79.0,0.5949,0.2532,0.0127,0.0253,0.0633,0.0,0.0506,0.0,0.0,0.0,1,0.6065,0.5419,0.40700000000000003,14800,8521.5
Hillsdale Free Will Baptist College,Moore,OK,0.0,0.0,0.0,1,395.0,415.0,0.0,226.0,0.5664,0.0929,0.1681,0.0044,0.0841,0.0,0.0044,0.0575,0.0221,0.177,1,0.5279,0.5635,0.1218,35700,PrivacySuppressed
Hollywood Cosmetology Center,Norman,OK,0.0,0.0,0.0,0,,,0.0,6.0,0.8333,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.8824,PrivacySuppressed,PrivacySuppressed
Langston University,Langston,OK,1.0,0.0,0.0,0,,,0.0,2050.0,0.0634,0.8654,0.0132,0.0,0.0151,0.0,0.0,0.0024,0.0405,0.0976,1,0.7267,0.7586,0.2275,28400,26217
Murray State College,Tishomingo,OK,0.0,0.0,0.0,0,,,0.0,1838.0,0.5664,0.0479,0.068,0.0033,0.1317,0.0005,0.0876,0.0854,0.0092,0.3934,1,0.4925,0.3308,0.3538,28600,17658
Spartan College of Aeronautics and Technology,Tulsa,OK,0.0,0.0,0.0,0,,,0.0,849.0,0.5324,0.0883,0.1873,0.0389,0.033,0.0,0.0978,0.0118,0.0106,0.0,1,0.8592,0.9547,0.3843,39300,18018.5
Northeastern State University,Tahlequah,OK,0.0,0.0,0.0,0,461.0,474.0,0.0,6914.0,0.5001,0.0461,0.0431,0.0211,0.2145,0.001,0.1402,0.0126,0.0213,0.2703,1,0.5013,0.4937,0.3923,34800,17750
Beauty Technical College Inc,Tahlequah,OK,0.0,0.0,0.0,0,,,0.0,29.0,0.6897,0.0345,0.0,0.0,0.2759,0.0,0.0,0.0,0.0,0.0,1,0.5319,0.1915,0.5833,PrivacySuppressed,PrivacySuppressed
Northern Oklahoma College,Tonkawa,OK,0.0,0.0,0.0,0,,,0.0,3383.0,0.7414,0.0467,0.0603,0.0095,0.1227,0.0,0.0003,0.0192,0.0,0.3834,1,0.2522,0.2288,0.2389,30400,9200
Northeastern Oklahoma A&M College,Miami,OK,0.0,0.0,0.0,0,,,0.0,2021.0,0.5636,0.0821,0.0297,0.0109,0.2212,0.0,0.0648,0.0242,0.0035,0.2034,1,0.565,0.4295,0.2608,28000,10500
Northwestern Oklahoma State University,Alva,OK,0.0,0.0,0.0,0,,,0.0,1876.0,0.6418,0.0666,0.0672,0.0069,0.0656,0.0048,0.0053,0.0693,0.0725,0.2457,1,0.3356,0.402,0.1892,35300,14290
Oklahoma State University Center for Health Sciences,Tulsa,OK,0.0,0.0,0.0,0,,,0.0,,,,,,,,,,,,1,,,,PrivacySuppressed,PrivacySuppressed
Oklahoma Christian University,Edmond,OK,0.0,0.0,0.0,1,540.0,540.0,0.0,1938.0,0.71,0.0862,0.066,0.0506,0.0212,0.0005,0.0655,0.0,0.0,0.0408,1,0.2819,0.5321,0.0418,36900,24500
University of Oklahoma-Health Sciences Center,Oklahoma City,OK,0.0,0.0,0.0,0,,,0.0,828.0,0.6824,0.0411,0.0785,0.0628,0.0507,0.0,0.0749,0.0036,0.006,0.0652,1,0.2854,0.6329,0.3939,46700,19500
Oklahoma Panhandle State University,Goodwell,OK,0.0,0.0,0.0,0,,,0.0,1136.0,0.5968,0.1188,0.1611,0.0132,0.0361,0.0,0.0229,0.0185,0.0326,0.1558,1,0.408,0.4705,0.2335,34800,18187
Oklahoma State University-Main Campus,Stillwater,OK,0.0,0.0,0.0,0,540.0,565.0,0.0,20636.0,0.7118,0.0482,0.0552,0.016,0.0527,0.0007,0.0793,0.0317,0.0044,0.1219,1,0.2847,0.4242,0.1273,43800,20083.5
Oklahoma State University-Oklahoma City,Oklahoma City,OK,0.0,0.0,0.0,0,,,0.0,6186.0,0.5498,0.1552,0.0973,0.0259,0.0394,0.0,0.0909,0.0,0.0415,0.6515,1,0.4039,0.3463,0.4298,33700,13995
Oklahoma Baptist University,Shawnee,OK,0.0,0.0,0.0,1,575.0,538.0,0.0,1824.0,0.7094,0.0625,0.0236,0.0088,0.0548,0.0027,0.0872,0.0296,0.0214,0.0214,1,0.364,0.5092,0.1228,35900,26000
Oklahoma City Community College,Oklahoma City,OK,0.0,0.0,0.0,0,,,0.0,12367.0,0.5854,0.0921,0.1108,0.0387,0.042,0.0025,0.0535,0.075,0.0,0.6338,1,0.3909,0.2097,0.4038,32200,8605
Oklahoma City University,Oklahoma City,OK,0.0,0.0,0.0,1,585.0,580.0,0.0,1793.0,0.6007,0.0524,0.0792,0.0151,0.024,0.0,0.0798,0.1478,0.0011,0.0931,1,0.1984,0.4666,0.1634,40100,23835
University of Oklahoma-Norman Campus,Norman,OK,0.0,0.0,0.0,0,595.0,605.0,0.0,20538.0,0.626,0.0465,0.0902,0.0591,0.0394,0.0011,0.0709,0.0441,0.0226,0.1376,1,0.2423,0.3656,0.1293,46700,19500
Oklahoma School of Photography,Moore,OK,0.0,0.0,0.0,0,,,0.0,28.0,0.8214,0.1071,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,1,0.6875,0.7188,0.8182,22100,8328
Oklahoma State University Institute of Technology,Okmulgee,OK,0.0,0.0,0.0,0,,,0.0,2426.0,0.6031,0.0503,0.0569,0.0128,0.1459,0.0012,0.0754,0.0132,0.0412,0.2894,1,0.4884,0.4394,0.3101,33300,12122
Oral Roberts University,Tulsa,OK,0.0,0.0,0.0,1,496.0,480.0,0.0,2947.0,0.4934,0.1412,0.0872,0.0217,0.0316,0.0,0.0502,0.0662,0.1086,0.1517,1,0.4227,0.6283,0.1363,35100,27000
Tulsa Technology Center-Peoria Campus,Tulsa,OK,0.0,0.0,0.0,0,,,0.0,553.0,0.6347,0.1537,0.0976,0.0163,0.094,0.0036,0.0,0.0,0.0,0.7631,1,0.1016,0.0,0.2372,38200,PrivacySuppressed
Platt College-Central OKC,Oklahoma City,OK,0.0,0.0,0.0,0,,,0.0,134.0,0.5448,0.1567,0.209,0.0299,0.0448,0.0,0.0075,0.0,0.0075,0.0,1,0.7456,0.7631,0.635,21500,9500
Rogers State University,Claremore,OK,0.0,0.0,0.0,0,,,0.0,3611.0,0.5935,0.0252,0.0474,0.0119,0.1246,0.0008,0.1792,0.0147,0.0028,0.3365,1,0.4584,0.4391,0.3452,31900,16000
Rose State College,Midwest City,OK,0.0,0.0,0.0,0,,,0.0,6067.0,0.5573,0.1721,0.0552,0.0213,0.0486,0.0025,0.0926,0.0025,0.048,0.5652,1,0.3676,0.2543,0.4802,31600,9000
St. Gregory's University,Shawnee,OK,0.0,0.0,0.0,1,,,0.0,596.0,0.4782,0.0789,0.1242,0.0084,0.0805,0.0017,0.0889,0.0436,0.0956,0.1611,1,0.4803,0.6349,0.4597,40400,25000
Standard Beauty College of Oklahoma,Sand Springs,OK,0.0,0.0,0.0,0,,,0.0,85.0,0.7882,0.1412,0.0118,0.0,0.0588,0.0,0.0,0.0,0.0,0.0,1,0.7029,0.6232,0.5542,17200,9222
University of Science and Arts of Oklahoma,Chickasha,OK,0.0,0.0,0.0,0,442.0,460.0,0.0,845.0,0.6355,0.0414,0.0651,0.0083,0.1077,0.0,0.0604,0.0805,0.0012,0.0651,1,0.4279,0.488,0.2004,32000,22274
Seminole State College,Seminole,OK,0.0,0.0,0.0,0,,,0.0,1510.0,0.5967,0.0735,0.0371,0.0086,0.2662,0.0026,0.004,0.0106,0.0007,0.3914,1,0.3242,0.1651,0.3332,26700,10500
Southern School of Beauty Inc,Durant,OK,0.0,0.0,0.0,0,,,0.0,28.0,0.8214,0.0714,0.0,0.0,0.1071,0.0,0.0,0.0,0.0,0.0,1,0.9394,0.4545,0.6333,14600,PrivacySuppressed
Southeastern Oklahoma State University,Durant,OK,0.0,0.0,0.0,0,,,0.0,3372.0,0.5477,0.0566,0.0406,0.0083,0.1773,0.0018,0.1418,0.0258,0.0,0.1942,1,0.4786,0.4523,0.3133,34100,15864
Southwestern Christian University,Bethany,OK,0.0,0.0,0.0,1,500.0,520.0,0.0,774.0,0.4496,0.2778,0.0711,0.0039,0.0349,0.0039,0.0181,0.1034,0.0375,0.2429,1,0.5933,0.8881,0.4913,28500,25000
Southwestern Oklahoma State University,Weatherford,OK,0.0,0.0,0.0,0,,,0.0,4051.0,0.6724,0.0573,0.0783,0.016,0.0402,0.0012,0.078,0.0365,0.02,0.1644,1,0.3758,0.6434,0.1869,37200,16675
Tulsa Community College,Tulsa,OK,0.0,0.0,0.0,0,,,0.0,15593.0,0.5847,0.0949,0.0716,0.0416,0.0772,0.0008,0.0786,0.0178,0.033,0.6227,1,0.3836,0.2661,0.4365,31300,11520.5
Tulsa Welding School-Tulsa,Tulsa,OK,0.0,0.0,0.0,0,,,0.0,1054.0,0.4469,0.0835,0.1176,0.0038,0.1594,0.0009,0.0237,0.0009,0.1632,0.0,1,0.5519,0.6237,0.3675,36100,9500
University of Tulsa,Tulsa,OK,0.0,0.0,0.0,1,635.0,635.0,0.0,3441.0,0.5495,0.0445,0.0436,0.0334,0.0372,0.0012,0.0099,0.2668,0.0139,0.0291,1,0.1505,0.2958,0.0595,43600,26000
Virgil's Beauty College,Muskogee,OK,0.0,0.0,0.0,0,,,0.0,22.0,0.6364,0.0,0.0909,0.0,0.2727,0.0,0.0,0.0,0.0,0.0,1,0.6087,0.0,0.4688,PrivacySuppressed,PrivacySuppressed
Indian Capital Technology Center-Tahlequah,Tahlequah,OK,0.0,0.0,0.0,0,,,0.0,309.0,0.2298,0.0065,0.1327,0.0,0.4887,0.0,0.0,0.0,0.1424,0.6052,1,0.4262,0.0,0.2183,21900,PrivacySuppressed
Western Oklahoma State College,Altus,OK,0.0,0.0,0.0,0,,,0.0,1178.0,0.4847,0.0772,0.191,0.0085,0.0204,0.0025,0.0789,0.0306,0.1061,0.5119,1,0.3636,0.1649,0.3266,29600,8500
Woodward Beauty College,Woodward,OK,0.0,0.0,0.0,0,,,0.0,39.0,0.7436,0.0256,0.1795,0.0256,0.0256,0.0,0.0,0.0,0.0,0.0,1,0.5098,0.5882,0.2963,PrivacySuppressed,PrivacySuppressed
High Plains Technology Center,Woodward,OK,0.0,0.0,0.0,0,,,0.0,77.0,0.8052,0.0,0.1429,0.0,0.0,0.0,0.0519,0.0,0.0,0.4675,1,0.16,0.0,0.1401,19000,PrivacySuppressed
Academy of Hair Design-Salem,Salem,OR,0.0,0.0,0.0,0,,,0.0,58.0,0.8103,0.0345,0.1379,0.0,0.0172,0.0,0.0,0.0,0.0,0.0,1,0.8642,0.9877,0.5536,14800,18519
Abdill Career College Inc,Medford,OR,0.0,0.0,0.0,0,,,0.0,41.0,0.8537,0.0244,0.0976,0.0244,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6486,0.5878,0.45,PrivacySuppressed,9500
Paul Mitchell the School-Portland,Portland,OR,0.0,0.0,0.0,0,,,0.0,150.0,0.8067,0.02,0.1,0.0,0.02,0.0133,0.0133,0.0133,0.0133,0.0,1,0.3261,0.4402,0.2159,,10194
The Art Institute of Portland,Portland,OR,0.0,0.0,0.0,0,,,0.0,1111.0,0.0882,0.0036,0.1134,0.0162,0.0036,0.0009,0.0,0.0,0.7741,0.297,1,0.5979,0.8019,0.41100000000000003,33500,34722.5
Beau Monde College of Hair Design,Portland,OR,0.0,0.0,0.0,0,,,0.0,136.0,0.7132,0.125,0.1103,0.0,0.0074,0.0,0.0,0.0074,0.0368,0.0,0,0.5822,0.5493,0.3413,18400,12500
Blue Mountain Community College,Pendleton,OR,0.0,0.0,0.0,0,,,0.0,1388.0,0.6844,0.0122,0.2133,0.0072,0.0259,0.0065,0.0339,0.0,0.0166,0.402,1,0.4307,0.2283,0.392,29500,17431
Central Oregon Community College,Bend,OR,0.0,0.0,0.0,0,,,0.0,5767.0,0.7290000000000001,0.0059,0.0933,0.012,0.0186,0.0043,0.0262,0.0,0.1108,0.5284,1,0.4722,0.4642,0.4941,30500,17667
Chemeketa Community College,Salem,OR,0.0,0.0,0.0,0,,,0.0,9563.0,0.5689,0.0131,0.2189,0.0159,0.0187,0.0081,0.0362,0.0022,0.1182,0.4766,1,0.4584,0.3807,0.4509,30100,18264
Clackamas Community College,Oregon City,OR,0.0,0.0,0.0,0,,,0.0,6100.0,0.7044,0.0226,0.0897,0.0311,0.0118,0.0038,0.0461,0.0018,0.0887,0.5713,1,0.2982,0.3823,0.4363,32300,14000
Clatsop Community College,Astoria,OR,0.0,0.0,0.0,0,,,0.0,619.0,0.7819,0.0065,0.1163,0.0162,0.0113,0.0016,0.0307,0.0,0.0355,0.483,1,0.3611,0.1955,0.4238,23900,11000
College of Hair Design Careers,Salem,OR,0.0,0.0,0.0,0,,,0.0,61.0,0.6557,0.0,0.2295,0.0164,0.0164,0.0,0.0656,0.0,0.0164,0.0,1,0.4457,0.5870000000000001,0.3971,12900,16000
Concorde Career College-Portland,Portland,OR,0.0,0.0,0.0,0,,,0.0,804.0,0.5609,0.0547,0.1903,0.0336,0.0062,0.0062,0.092,0.0,0.055999999999999994,0.0,1,0.4456,0.5832,0.5384,28600,9500
